,MOF_name,P_low,opt_MACO_Diffev
0,MOF034,0.31282505233815916,-324.5975758005944
1,MOF036,0.42410619096417157,-1428.2964361752079
2,MOF040,0.22606467195863356,-662.7886306983384
3,MOF041,0.32230319760267384,-615.8573406464193
4,MOF055,0.24943601948555527,-504.54215933685043
5,MOF077,0.3183527647997796,-323.18413801452476
6,MOF107,0.33840591753475313,-491.9569379283885
7,MOF131,0.39809891317871765,-730.7049498295719
8,MOF228,0.38695663365383953,-541.3371613226722
9,MOF261,0.25659960327855225,-578.6902103640783
10,MOF262,0.27585429989540416,-577.3762046797997
11,MOF305,0.4635476993070271,-320.30197391455374
12,MOF306,0.48637115261805197,-322.24704562454536
13,MOF335,0.23839698493933603,-397.8363645888882
14,MOF336,0.1761437611772968,-382.70711548946826
15,MOF340,0.2532862446065961,-434.70440983375744
16,MOF423,0.2502626757532267,-814.5175838933417
17,MOF426,0.26488672382895095,-645.7706670318001
18,MOF499,0.2463348527836054,-306.9319862818898
19,MOF513,0.18127089318609496,-316.57470555831515
20,MOF514,0.6789540007542734,-389.1984648320801
21,MOF530,0.05709945194457211,-313.7197524116697
22,MOF601,0.07417103353491539,-326.33165702272305
23,MOF642,0.15191311564293952,-328.2645307202056
24,MOF671,0.2527958439331721,-787.7592189383963
25,MOF763,0.23090000130119598,-348.02086750037415
26,MOF849,0.27866464393079826,-608.0962452379672
27,MOF853,0.6037122158240797,-352.6280665841385
28,MOF856,0.23858420820003334,-334.60973914553085
29,MOF862,0.24388689284491938,-519.5870757760597
30,MOF913,0.24618324495501076,-500.12095779111456
31,MOF928,0.34448178845857624,-375.26313906578287
32,MOF967,0.24067499581062363,-441.27399029376545
33,MOF1085,0.13104967092391678,-337.81719832153163
34,MOF1181,0.22831257030537483,-454.30635344104394
35,MOF1211,0.27349454899833825,-344.93589197888883
36,MOF1216,0.3745186794713107,-902.0822802633463
37,MOF1273,0.33212826889798874,-471.3732332500722
38,MOF1287,0.22611636680348923,-691.7791300216455
39,MOF1399,0.7325980282256102,-371.1078487348386
40,MOF1408,0.15623014564985432,-330.1431943176713
41,MOF1409,0.18361414851784308,-336.37002354581784
42,MOF1419,0.23909175866563614,-658.2989345127829
43,MOF1420,0.23027542000302975,-506.43051164080447
44,MOF1482,0.2907289043545741,-351.9777692623883
45,MOF1488,0.36566472752260293,-2401.5706551775206
46,MOF1518,0.2672339269278624,-633.4714144572328
47,MOF1566,0.2879184021890619,-698.4558424696128
48,MOF1635,0.30105537970798457,-338.47259263036165
49,MOF1856,0.2633546178592643,-352.65299674279356
50,MOF1858,0.13533986485034327,-363.9706764870101
51,MOF1859,0.10759774774077974,-399.64969345411953
52,MOF1873,0.24857392728908095,-333.35595244236015
53,MOF1894,0.2635521007608552,-510.6024340433102
54,MOF1919,0.3350525412618747,-426.7411862771674
55,MOF1920,0.28547694030396775,-403.4198939125752
56,MOF1924,0.2610076949859547,-464.12362633463204
57,MOF1926,0.2760751482357432,-402.2781407944478
58,MOF1933,0.2534596436377253,-484.7591249074229
59,MOF1959,0.3982968186129718,-700.208455341445
60,MOF1966,0.20975404570391287,-580.0054504561723
61,MOF1985,0.7298794759782122,-323.6253523557886
62,MOF2015,0.2172807281154186,-310.88181018837236
63,MOF2091,0.2697746820197411,-412.9883376844331
64,MOF2209,0.2777556800242551,-674.8805898080659
65,MOF2321,0.2642207865548456,-341.83719616600206
66,MOF2323,0.3068321081108726,-342.6886460400331
67,MOF2324,0.3044668662779375,-349.3149208407064
68,MOF2325,0.34132594222392504,-364.23202117937007
69,MOF2326,0.29825810806303976,-353.20264583665977
70,MOF2328,0.29802114997407636,-352.76163109431565
71,MOF2346,0.229199952436408,-415.63705640468777
72,MOF2378,0.28386309609030824,-397.7696756127041
73,MOF2383,0.5162782252965019,-417.48521251326486
74,MOF2457,0.25903037470181023,-486.3717463890059
75,MOF2544,0.27150290747072336,-317.419480852326
76,MOF2657,0.22983525752793754,-443.2011099956234
77,MOF2664,0.22115797009770227,-324.87271802043324
78,MOF2670,0.21759771832722613,-307.72272765300227
79,MOF2722,0.3203560058220556,-364.5852724446268
80,MOF2791,0.11628379974776215,-328.2267842357788
81,MOF2818,0.15315958363674897,-319.94975251309734
82,MOF2821,0.3537913494552067,-436.4944597123817
83,MOF2855,0.31342461655668863,-381.01027174850134
84,MOF2860,0.2916946947436616,-319.35695794272954
85,MOF2902,0.23200205506520422,-607.9575274962574
86,MOF2918,0.21667889827131143,-301.5135401333651
87,MOF2919,0.14714867530874637,-321.3749828051445
88,MOF3012,0.3327657653545164,-453.457638847288
89,MOF3059,0.31672257911538726,-349.1665176607708
90,MOF3089,0.2401586935479582,-317.18957971805946
91,MOF3090,0.25147199434189094,-323.54709714671293
92,MOF3099,0.33141312737537587,-492.39494817844746
93,MOF3100,0.31281623260103597,-486.1367798509018
94,MOF3103,0.3226477313190992,-453.1652849235967
95,MOF3112,0.5975645586449804,-343.2889173378451
96,MOF3138,0.2197585928483492,-387.36638829513464
97,MOF3226,0.186370839058009,-336.5409835896816
98,MOF3262,0.2421225083173883,-631.682243088578
99,MOF3379,0.2254603640640383,-569.7918309849982
100,MOF3449,0.36723082275903257,-592.5574149214364
101,MOF3671,0.2917377229541344,-490.55435263620035
102,MOF3709,0.4220287928987635,-308.5731200401987
103,MOF3799,0.27952762603244274,-398.31579113181385
104,MOF3801,0.19319830451885234,-418.64255352148376
105,MOF3806,0.28756878583790013,-625.3811059468823
106,MOF3863,0.06625641989182823,-315.4750141606791
107,MOF3878,0.26845978657395103,-1048.40119445776
108,MOF4109,0.3442163933694598,-359.9360882328062
109,MOF4110,0.32697604532289676,-349.8146528420816
110,MOF4119,0.30773061048130235,-359.505716213284
111,MOF4127,0.2505749180807531,-303.57827569656865
112,MOF4142,0.2824516898363324,-557.3450120765286
113,MOF4171,0.3815431661342789,-309.8989443832348
114,MOF4185,0.3121306076745321,-372.7310476452228
115,MOF4245,0.30058022406708734,-350.1437959917657
116,MOF4246,0.26058453288120176,-333.4076343941704
117,MOF4260,0.25033137833804325,-491.0040893804888
118,MOF4456,0.2510029100762759,-545.0011331054283
119,MOF4457,0.25182892385058187,-522.7695361425922
120,MOF4458,0.2676808697549097,-599.0740397283561
121,MOF4460,0.3221077221831812,-549.2852846083239
122,MOF4461,0.37893631048116827,-613.0441579742003
123,MOF4462,0.24338838879567548,-679.1575703701862
124,MOF4543,0.2569693160692532,-410.5194152978047
125,MOF4544,0.29243146616070514,-437.82151398266114
126,MOF4604,0.42892110362889957,-314.8349518072492
127,MOF4624,0.3070455939333492,-519.463050326387
128,MOF4631,0.24670964423457997,-386.5201307488644
129,MOF4669,0.11615819307824832,-374.6429557832818
130,MOF4780,0.2392900028270279,-462.1884714955667
131,MOF4820,0.24892953239119014,-312.8358680606445
132,MOF4839,0.2912136895144678,-492.0290828115709
133,MOF4849,0.23338036148212787,-481.6760175237538
134,MOF4853,0.9817620153909683,-490.58455412273815
135,MOF4856,0.258581082736763,-389.0330081705061
136,MOF4858,0.25589592225177105,-397.6035690556458
137,MOF4877,0.3237314317032689,-593.5411890880835
